customer_id,age,age_group,gender,annual_income,loan_amount,loan_purpose,employment_length_years,credit_history_years,num_open_credit_lines,debt_to_income_ratio,has_previous_default,delinquent_2yrs,risk_label
CUST_100000,45,Working Age (25-55),Female,32300.0,10600,credit_card,4,14,7,0.2922,0,1,1
CUST_100001,38,Working Age (25-55),Female,40100.0,13500,home_improvement,4,5,9,0.0911,0,0,0
CUST_100002,47,Working Age (25-55),Female,46400.0,12600,home_improvement,5,12,6,0.2685,0,2,1
CUST_100003,58,Senior (>55),Female,96600.0,32900,home_improvement,0,17,6,0.3155,1,0,1
CUST_100004,37,Working Age (25-55),Female,28600.0,12100,credit_card,4,16,12,0.0853,0,0,0
CUST_100005,37,Working Age (25-55),Male,44500.0,15900,debt_consolidation,1,15,2,0.2679,0,3,1
CUST_100006,58,Senior (>55),Male,91500.0,39900,major_purchase,3,18,12,0.0923,0,0,0
CUST_100007,49,Working Age (25-55),Male,45900.0,11800,debt_consolidation,7,19,3,0.309,0,0,0
CUST_100008,34,Working Age (25-55),Female,69800.0,19900,debt_consolidation,6,14,9,0.2686,0,2,1
CUST_100009,46,Working Age (25-55),Female,50200.0,9700,debt_consolidation,0,15,6,0.2994,0,0,0
CUST_100010,34,Working Age (25-55),Female,62400.0,27800,credit_card,4,7,2,0.2163,0,2,1
CUST_100011,34,Working Age (25-55),Male,47800.0,5700,debt_consolidation,16,11,7,0.1854,0,0,0
CUST_100012,42,Working Age (25-55),Male,78200.0,17600,home_improvement,0,14,10,0.2088,0,0,1
CUST_100013,19,Young (<25),Male,23200.0,4700,credit_card,1,2,8,0.1036,1,0,1
CUST_100014,19,Young (<25),Female,44400.0,10400,credit_card,1,7,11,0.2746,0,0,1
CUST_100015,33,Working Age (25-55),Male,63800.0,26900,debt_consolidation,7,12,7,0.308,0,0,1
CUST_100016,27,Working Age (25-55),Female,72700.0,16600,credit_card,1,10,7,0.2065,0,0,0
CUST_100017,43,Working Age (25-55),Male,123100.0,50000,debt_consolidation,1,15,7,0.1923,0,0,0
CUST_100018,29,Working Age (25-55),Male,43700.0,10800,debt_consolidation,11,12,4,0.1977,0,0,0
CUST_100019,23,Young (<25),Male,122200.0,48800,debt_consolidation,2,7,6,0.1974,0,0,1
CUST_100020,57,Senior (>55),Male,37700.0,10700,home_improvement,0,20,8,0.114,0,0,0
CUST_100021,37,Working Age (25-55),Female,112500.0,23500,credit_card,4,11,8,0.2394,0,0,0
CUST_100022,40,Working Age (25-55),Male,84900.0,21800,credit_card,0,12,7,0.0841,0,0,0
CUST_100023,22,Young (<25),Male,32800.0,8200,credit_card,4,11,8,0.2439,0,0,1
CUST_100024,33,Working Age (25-55),Female,64100.0,12200,credit_card,5,5,4,0.1244,0,0,0
CUST_100025,41,Working Age (25-55),Female,52700.0,10600,debt_consolidation,10,16,3,0.172,0,0,0
CUST_100026,26,Working Age (25-55),Female,76400.0,12600,debt_consolidation,7,7,8,0.5286,1,0,1
CUST_100027,44,Working Age (25-55),Female,47900.0,10400,small_business,0,13,8,0.1845,1,1,1
CUST_100028,32,Working Age (25-55),Female,45800.0,14600,credit_card,2,11,7,0.207,0,0,0
CUST_100029,36,Working Age (25-55),Male,115000.0,27100,credit_card,7,8,6,0.091,0,1,1
CUST_100030,32,Working Age (25-55),Female,51300.0,17900,credit_card,2,8,4,0.3853,1,0,1
CUST_100031,62,Senior (>55),Female,85400.0,38000,home_improvement,17,19,11,0.0807,0,0,0
CUST_100032,39,Working Age (25-55),Male,47900.0,11100,credit_card,6,12,4,0.3158,0,0,0
CUST_100033,27,Working Age (25-55),Male,135500.0,35500,debt_consolidation,0,7,4,0.3017,0,0,0
CUST_100034,49,Working Age (25-55),Male,37300.0,5900,small_business,10,21,9,0.442,0,0,0
CUST_100035,25,Working Age (25-55),Female,38600.0,9200,debt_consolidation,0,14,8,0.3091,0,0,1
CUST_100036,42,Working Age (25-55),Male,125300.0,44400,debt_consolidation,0,8,5,0.2768,1,0,1
CUST_100037,19,Young (<25),Male,42400.0,7500,debt_consolidation,1,8,7,0.1642,0,1,0
CUST_100038,24,Young (<25),Female,130700.0,21400,home_improvement,6,10,6,0.0834,0,0,0
CUST_100039,42,Working Age (25-55),Female,88500.0,20500,home_improvement,3,16,6,0.0693,1,0,0
CUST_100040,48,Working Age (25-55),Male,49800.0,19200,home_improvement,1,14,7,0.2096,0,0,0
CUST_100041,42,Working Age (25-55),Male,20000.0,6400,major_purchase,2,13,8,0.1796,0,2,0
CUST_100042,38,Working Age (25-55),Male,53600.0,23300,debt_consolidation,2,11,5,0.04,0,0,0
CUST_100043,36,Working Age (25-55),Male,57300.0,23900,credit_card,1,11,8,0.2682,0,1,1
CUST_100044,22,Young (<25),Male,102900.0,15700,credit_card,1,4,5,0.0886,0,0,0
CUST_100045,31,Working Age (25-55),Male,129800.0,14900,medical,4,10,8,0.2765,0,0,0
CUST_100046,34,Working Age (25-55),Female,37200.0,8900,debt_consolidation,11,7,4,0.1446,0,0,0
CUST_100047,52,Working Age (25-55),Female,84200.0,23800,major_purchase,1,17,8,0.0714,0,0,0
CUST_100048,44,Working Age (25-55),Female,82500.0,23100,debt_consolidation,1,11,12,0.1138,0,0,0
CUST_100049,19,Young (<25),Male,97800.0,14400,home_improvement,1,7,6,0.2329,0,0,0
CUST_100050,43,Working Age (25-55),Male,71300.0,10200,credit_card,6,13,4,0.298,0,0,0
CUST_100051,35,Working Age (25-55),Male,18600.0,2200,home_improvement,13,13,12,0.0714,0,1,0
CUST_100052,31,Working Age (25-55),Female,49700.0,19800,debt_consolidation,0,14,7,0.0464,0,0,0
CUST_100053,47,Working Age (25-55),Male,28700.0,12400,debt_consolidation,0,21,6,0.3968,0,2,1
CUST_100054,52,Working Age (25-55),Female,48500.0,6800,debt_consolidation,3,10,12,0.0903,0,0,0
CUST_100055,51,Working Age (25-55),Female,92900.0,16200,credit_card,4,15,12,0.228,0,0,0
