customer_id,age,age_group,gender,annual_income,loan_amount,loan_purpose,employment_length_years,credit_history_years,num_open_credit_lines,debt_to_income_ratio,has_previous_default,delinquent_2yrs,risk_label,batch_month
CUST_100000,41,Working Age (25-55),Male,82800.0,17300,debt_consolidation,2,7,11,0.2967,0,0,0,Month_1
CUST_100001,47,Working Age (25-55),Female,26000.0,6900,home_improvement,10,16,10,0.2977,0,0,0,Month_1
CUST_100002,46,Working Age (25-55),Male,54800.0,19000,credit_card,0,19,13,0.5856,0,0,1,Month_1
CUST_100003,42,Working Age (25-55),Male,71700.0,14000,small_business,6,13,12,0.1195,0,1,0,Month_1
CUST_100004,42,Working Age (25-55),Female,70300.0,18400,small_business,16,13,6,0.5241,0,0,1,Month_1
CUST_100005,27,Working Age (25-55),Male,41700.0,12200,credit_card,2,8,9,0.2366,0,3,1,Month_1
CUST_100006,65,Senior (>55),Female,55500.0,21800,debt_consolidation,5,22,11,0.1666,0,0,1,Month_1
CUST_100007,44,Working Age (25-55),Female,30200.0,9900,credit_card,10,12,8,0.3771,0,2,1,Month_1
CUST_100008,44,Working Age (25-55),Male,82500.0,9200,credit_card,17,11,10,0.3548,0,0,0,Month_1
CUST_100009,53,Working Age (25-55),Male,35200.0,6600,debt_consolidation,2,12,7,0.3251,0,0,1,Month_1
CUST_100010,48,Working Age (25-55),Female,40500.0,5200,debt_consolidation,2,13,13,0.1243,0,3,0,Month_1
CUST_100011,42,Working Age (25-55),Male,42800.0,10900,credit_card,1,10,8,0.0909,0,0,0,Month_1
CUST_100012,37,Working Age (25-55),Male,54300.0,14900,small_business,1,10,8,0.3323,0,3,1,Month_1
CUST_100013,50,Working Age (25-55),Female,34400.0,13000,medical,2,22,9,0.1188,0,1,0,Month_1
CUST_100014,55,Working Age (25-55),Male,20900.0,5100,debt_consolidation,3,17,5,0.0625,0,0,0,Month_1
CUST_100015,52,Working Age (25-55),Male,83800.0,24700,credit_card,1,16,9,0.3404,0,0,1,Month_1
CUST_100016,19,Young (<25),Male,47600.0,16500,debt_consolidation,1,7,6,0.142,0,0,1,Month_1
CUST_100017,35,Working Age (25-55),Male,32700.0,7000,debt_consolidation,1,10,8,0.3767,0,1,1,Month_1
CUST_100018,29,Working Age (25-55),Male,36900.0,7200,home_improvement,0,11,7,0.1315,0,1,0,Month_1
CUST_100019,53,Working Age (25-55),Female,58000.0,8800,medical,1,13,7,0.0758,0,1,0,Month_1
CUST_100020,37,Working Age (25-55),Female,21900.0,4600,credit_card,8,10,4,0.0837,0,0,0,Month_1
